"U_ID","Transcription","Repair","Pair","Interlocutor","Task"
"10_Spontaneous","det giver mening ja ja ja præcis",0,"10","10_A","Spontaneous"
"10_Spontaneous","hvad vil han gøre hvis ikke vi var der?",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja men jeg ved sgu ikke jeg synes egentlig jeg har haft nogle fine chefer de steder jeg har været",0,"10","10_A","Spontaneous"
"10_Spontaneous","og der var altså der var et sted hvor jeg sådan hvor jeg det var ind i sådan en en bar cafeagtig noget hvor sådan skulle læres og og han blev bare ved med at kigge mig over skuldrene bare sådan jeg følte bare han stod lige bag ved mig hver eneste gang jeg gjorde et eller andet så var jeg sådan ah sådan skal du ikke gøre det og var s- det lidt s- sådan stressende så det lidt svært at lære tingene ordenligt hvis man ikke får lov til at bare at prøve lidt selv",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","(xxx) også lave fejl man kan jo ikke alting første gang",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","nej (xxx) præcis det lidt irriterende at få at vide første gang du laver en fejl så er det så har du gjort det helt forkert",0,"10","10_B","Spontaneous"
"10_Spontaneous","mm",0,"10","10_A","Spontaneous"
"10_Spontaneous","mm",0,"10","10_A","Spontaneous"
"10_Spontaneous","take it easy",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","diskuter og bliv enige om to forskellige superkræfter I kunne tænke jer at have ha haha åh",0,"10","10_B","Spontaneous"
"10_Spontaneous","haha jeg ville helt klart godt kunne flyve",0,"10","10_A","Spontaneous"
"10_Spontaneous","flyve?",1,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja det ville også være helt vildt fedt",0,"10","10_B","Spontaneous"
"10_Spontaneous","så kunne man komme over alt så nemt",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","det kunne også være mega sjovt",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja ja det kunne også være mega sjovt haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","at flyve det var det var en god en jeg ved slet ikke hvad jeg om jeg kan finde på noget andet hvad kan man ellers?",0,"10","10_B","Spontaneous"
"10_Spontaneous","jeg føler sådan noget med at kunne læse folks tanker det bliver lidt for øh det bliver lidt for hæmmende for dit socialliv også sådan noget",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","hvis man sådan ville kunne læse andres tanker så ville man ikke kunne lade være med at læse ens kærestes tanker når man sur eller sådan et eller andet og så kan han bare høre at han tænker at man er en ko og tænker så kan man bare aldrig nogensinde komme over det",0,"10","10_A","Spontaneous"
"10_Spontaneous","nej",0,"10","10_B","Spontaneous"
"10_Spontaneous","nej",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja og så kan man hvis man så kan man læse alles tanker og så kan man bare gå forbi på gaden det ville være mærkeligt",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja jeg tror næsten ikke man ville kunne navigere i det så",0,"10","10_B","Spontaneous"
"10_Spontaneous","nej det tror jeg heller ikke",0,"10","10_A","Spontaneous"
"10_Spontaneous","hva (xxx) også bare sådan noget j- nej",0,"10","10_B","Spontaneous"
"10_Spontaneous","telekin-kineti",0,"10","10_A","Spontaneous"
"10_Spontaneous","hvad er det?",0,"10","10_B","Spontaneous"
"10_Spontaneous","sådan noget hvor man kan du ved kigge på ting og så få dem til at bevæge sig det kunne være meget fedt når man sidder på sofaen og ikke kan nå fjernbetjeningen så (xxx) sådan (illustrerende lyd)",0,"10","10_A","Spontaneous"
"10_Spontaneous","(xxx) sejt",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","k- ej det sådan noget Harry Potter-agtigt noget",0,"10","10_B","Spontaneous"
"10_Spontaneous","haha haha ja haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","det synes jeg også (xxx) nice det synes jeg er nogen gode nogen dem er jeg helt enig i",0,"10","10_B","Spontaneous"
"10_Spontaneous","okay haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","fortæl hinanden noget I er rigtig dårlige til",0,"10","10_B","Spontaneous"
"10_Spontaneous","øh jeg er rigtig dårlig til fodbold haha",0,"10","10_B","Spontaneous"
"10_Spontaneous","øh",0,"10","10_A","Spontaneous"
"10_Spontaneous","der er ikke så meget jeg er dårlig til nej haha en rigtig dårlig taber",0,"10","10_A","Spontaneous"
"10_Spontaneous","rigtig dårlig taber?",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","okay",0,"10","10_B","Spontaneous"
"10_Spontaneous","haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","går du op i sport eller hvad?",0,"10","10_B","Spontaneous"
"10_Spontaneous","øh øh nej egentlig ikke haha men når jeg først når jeg først er er I det så så jeg nødt til at også sådan gå helt ind i det og føle nederlag og sejr haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","nej",0,"10","10_B","Spontaneous"
"10_Spontaneous","men sådan (xxx) over alt",0,"10","10_B","Spontaneous"
"10_Spontaneous","mm",0,"10","10_B","Spontaneous"
"10_Spontaneous","mm",0,"10","10_B","Spontaneous"
"10_Spontaneous","okay uanset øh (xxx) ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","fortæl hinanden om den mærkeligste ting oplevelse I kan huske fra det sted I voksede op",0,"10","10_B","Spontaneous"
"10_Spontaneous","mærkeligste ting eller oplevelse",0,"10","10_B","Spontaneous"
"10_Spontaneous","åh den er svær",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja fordi (xxx)",0,"10","10_B","Spontaneous"
"10_Spontaneous","mine forældre de boede tæt på sådan et hjem for psykisk syge børn",0,"10","10_A","Spontaneous"
"10_Spontaneous","mm",0,"10","10_B","Spontaneous"
"10_Spontaneous","øh og det var sådan ret psykisk syge børn og samtidig var det lige ved siden af en skov så nogen gange når man gik tur med vores hund i skoven så kunne man møde nogen pædagoger der gik sammen med de der børn og de der børn de kunne godt være lidt sindssyge nogle gange nogle gange så havde de sådan seler på dem så gik der sådan en pædagog med et barn i sele det var lidt det var lidt mærkeligt nogle gange haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","hvad?",1,"10","10_B","Spontaneous"
"10_Spontaneous","nå<U+2192>",0,"10","10_B","Spontaneous"
"10_Spontaneous","ej okay ja det ja gør man stadigvæk det?",0,"10","10_B","Spontaneous"
"10_Spontaneous","jamen ja altså jeg tror hvis hvis børnene gerne vil ud at gå en tur eller sådan noget men man er bange for de løber væk eller sådan noget det jo sådan altså bare sådan en livrem ikke?",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","og så nogle meter bare sådan? Okay",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja det er da også alligvel lidt en risiko",0,"10","10_B","Spontaneous"
"10_Spontaneous","det er lidt mærkeligt det kan godt blive enige om",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","haha ha",0,"10","10_A","Spontaneous"
"10_Spontaneous","øh",0,"10","10_B","Spontaneous"
"10_Spontaneous","hvad fanden kan der være mærkeligt",0,"10","10_B","Spontaneous"
"10_Spontaneous","det er svært lige at øh",0,"10","10_A","Spontaneous"
"10_Spontaneous","jeg voksede op i sådan et rigtig øh ganske almindeligt villakvarter jeg synes ikke der var så meget der var mærkeligt",0,"10","10_B","Spontaneous"
"10_Spontaneous","var nogle mærkelige mennesker",0,"10","10_B","Spontaneous"
"10_Spontaneous","haha (eller blot udånding)",0,"10","10_A","Spontaneous"
"10_Spontaneous","(xxx) jo jeg var jeg var jeg var hvad hedder sådan noget",0,"10","10_B","Spontaneous"
"10_Spontaneous","avisbud med reklamer var det så bare der var virkelig et mærkeligt hus et sted sådan et tilgroet hus hvor altså man kunne nærmest ikke komme ind til den åndssvage brevsprække der var bare altså du ved haven var sådan hutsj (illustrerende lyd og opadgåede arme)",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","og huset altså man kunne ikke se ind ad vinduerne og sådan det hus det var virkelig creepy og virkelig mærkeligt (xxx) jeg så aldrig nogen jeg så aldrig liv eller sådan ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","nej",0,"10","10_A","Spontaneous"
"10_Spontaneous","det er også mærkeligt jeg føler der er sådan et hus i hvert villakvarter det der mærkelige hus hvor man aldrig rigtig helt ved hvem der bor som a- som alle børnene fortæller spøgelseshistorier omkring og sådan noget haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","det hus var det det nok det mærkeligste jeg kan komme i tanke om",0,"10","10_B","Spontaneous"
"10_Spontaneous","det var bare sådan hurtigt ind (illustrerende lyd) ud",0,"10","10_B","Spontaneous"
"10_Spontaneous","haha haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","ikke noget",0,"10","10_B","Spontaneous"
"10_Spontaneous","man kan jo bare lige se man vælter og så de der planter de bare øh øh tager en væk",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja eller en eller anden (xxx) sur mand der sådan kommer øh kommer ud og er ej",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","fortæl hinanden om den mærkeligste samtale I nogensinde har overhørt",0,"10","10_B","Spontaneous"
"10_Spontaneous","puh sådan at husk- synes jeg ikke jeg går og husker på",0,"10","10_B","Spontaneous"
"10_Spontaneous","nej det synes jeg heller ikke jeg (xxx)",0,"10","10_A","Spontaneous"
"10_Spontaneous","jo jo jeg jeg sad haha engang i toget jo i toget synes jeg nogle gange man hører nogle mærkelige øh samtaler der er virkelig nogle de har intet filter over hvad de sådan åbner op over for i toget",0,"10","10_B","Spontaneous"
"10_Spontaneous","nej",0,"10","10_A","Spontaneous"
"10_Spontaneous","(xxx)",0,"10","10_A","Spontaneous"
"10_Spontaneous","der har jeg (xxx) det var sammen med min søster der hørte vi godt nok øh",0,"10","10_B","Spontaneous"
"10_Spontaneous","mange ting om (xxx) to piger sad og snakkede sammen om alt mellem himmel og jord det var jeg havde måske ikke været snakke så meget fordi vi var du ved vi var en hel fyldt kupe med mange (xxx) mennesker ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","nej",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","og alle de sidder bare og stirrer og sidder bare (illlustrerende snakkelyd) haha",0,"10","10_A","Spontaneous"
"10_Spontaneous","ja ja ja ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","det var",0,"10","10_B","Spontaneous"
"10_Spontaneous","det var ikke en mærkeligt samtale det var bare sådan lidt mere",0,"10","10_B","Spontaneous"
"10_Spontaneous","nej",0,"10","10_A","Spontaneous"
"10_Spontaneous","(xxx) grænseoverskridende tror jeg ville jeg selv have syntes haha",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","det ved (xxx) den mærkeligste samtale jeg har overhørt",0,"10","10_A","Spontaneous"
"10_Spontaneous","altså jeg sy- det synes mere sådan hvis det nogen der har der har snakket til mig eller sådan noget jeg har lagt mærke til altså jeg sådan har tænkt over det",0,"10","10_A","Spontaneous"
"10_Spontaneous","altså i forbindelse med at så det sådan?",0,"10","10_B","Spontaneous"
"10_Spontaneous","ja øh ja sådan der var også engang sådan en psykisk syg man i toget der spurgte mig om alt muligt underligt",0,"10","10_A","Spontaneous"
"10_Spontaneous","mm",0,"10","10_B","Spontaneous"
"10_Spontaneous","og jeg sad til ham sad sammen med ham t- på haha vej til Ålborg sad bare i halvanden time og han sad bare (illustrerende snakkelyd)",0,"10","10_A","Spontaneous"
"10_Spontaneous","Jo det samme",0,"10","10_A","Spontaneous"
"10_Spontaneous","Så kan jeg spørge hvad laver du egentlig til daglig?",0,"10","10_B","Spontaneous"
"10_Spontaneous","Jamen jeg øh Jeg er jo igang med min kandidat I kognitiv Semiotik",0,"10","10_A","Spontaneous"
"10_Spontaneous","Mm",0,"10","10_B","Spontaneous"
"10_Spontaneous","Nå<U+2192>",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja Kender du det?",0,"10","10_A","Spontaneous"
"10_Spontaneous","Er du lige startet?",0,"10","10_B","Spontaneous"
"10_Spontaneous","Øh ja Det første år på kandidaten ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","Xxx?",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja jeg har hørt om kognitiv semiotik før",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","Øh og der var også en der forklarede mig hvad det var Men jeg øh hvad hedder det Jeg xxx Semiotik det ved jeg faktisk ikke helt hvad betyder",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","Det betyder øh Jeg tror sådan den officielle definition er læren om tegn",0,"10","10_A","Spontaneous"
"10_Spontaneous","Tegn?",1,"10","10_B","Spontaneous"
"10_Spontaneous","Ja som i i den her forstand betyder måder du kan kommunikere på",0,"10","10_A","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Så altså sprog og tegnsprog og gestus og musik og alle mulige måder du ligesom kan skabe kommunikation på",0,"10","10_A","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Så det handler om hvordan man bruger sprog og forstår sproget og forstår kommunikation og forstår interaktion og sådan noget",0,"10","10_A","Spontaneous"
"10_Spontaneous","Ja Og hvad hvad hvad hvad skal man bag- når man er færdig? Hvor hvor bliver man typisk ansat?",0,"10","10_A","Spontaneous"
"10_Spontaneous","Øh altså det kommer også det kommer også meget an på hvad du har læst inden og hvem og hvad du sådan hvilken retning du ligesom drejer det i",0,"10","10_A","Spontaneous"
"10_Spontaneous","Nå har man ikke nødvendigvis læst bachelor?",0,"10","10_B","Spontaneous"
"10_Spontaneous","Nej der findes ikke en bachelor",0,"10","10_A","Spontaneous"
"10_Spontaneous","Der findes ikke en?",0,"10","10_B","Spontaneous"
"10_Spontaneous","Nej det kun en kandidat",0,"10","10_A","Spontaneous"
"10_Spontaneous","Nå<U+2192>",0,"10","10_B","Spontaneous"
"10_Spontaneous","Øh men sådan typisk har man læst noget a la lingvistik øh psykologi kognitiv videnskab sprog",0,"10","10_A","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Sådan noget i den dur",0,"10","10_A","Spontaneous"
"10_Spontaneous","Øh der mange der bruger det til sådan reklamebranchen fordi man bliver god til sådan at at finde ud af hvilken form for kommunikation som en bestemt målgruppe tænder på eller hvad man skal sige Øh personligt så er jeg meget interesseret i i sprog og sprogudvikling sådan børns sprogudvikling og sådan noget",0,"10","10_A","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Øh",0,"10","10_A","Spontaneous"
"10_Spontaneous","Er det også sådan noget I lærer om eller hvad?",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Der mange forskellige grene man sådan kan arbejde sig ind",0,"10","10_A","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ham Kenneth Sørensen der har det her eksperiment han er også Han er en af dem der arbejder oppe på på den afdeling",0,"10","10_A","Spontaneous"
"10_Spontaneous","Mm",0,"10","10_B","Spontaneous"
"10_Spontaneous","Øh Så der også mange af de her prin- sådan mange af de her koncepter vi sådan sidder med nu som jeg godt sådan kan regne lidt ud hvad de skal bruge til og sådan Det meget sjovt",0,"10","10_A","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Og hvad har du læst inden så?",0,"10","10_B","Spontaneous"
"10_Spontaneous","Øh engelsk og kommunikation",0,"10","10_A","Spontaneous"
"10_Spontaneous","Engesk og kommunikation?",1,"10","10_B","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","Okay Er det Hvor læser man?",0,"10","10_B","Spontaneous"
"10_Spontaneous","Det på universitetet",0,"10","10_A","Spontaneous"
"10_Spontaneous","Nå -->",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","Okay For jeg tænkte lige om man kan Det kan man ikke i Aarhus",0,"10","10_B","Spontaneous"
"10_Spontaneous","Altså den hedder egentligt Engelsk og International Virksomhedskommunikation og den er der også i Aarhus",0,"10","10_A","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Øh forskellen ved Aarhus og Aalborg er bare at i Aarhus eller i Aalborg har de gjort den mere øh humanistisk så du kan vælge nogle valgfag så det er mere kommunikation og ikke så meget virksomheds- øh",0,"10","10_A","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","I Aarhus er den lidt mere businesscentreret",0,"10","10_A","Spontaneous"
"10_Spontaneous","Mm",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","Okay",0,"10","10_B","Spontaneous"
"10_Spontaneous","Haha Hvad med dig?",0,"10","10_A","Spontaneous"
"10_Spontaneous","Spændende",0,"10","10_B","Spontaneous"
"10_Spontaneous","Øh jeg læser psykologi",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_B","Spontaneous"
"10_Spontaneous","Jeg ved at skrive speciale",0,"10","10_B","Spontaneous"
"10_Spontaneous","Nåmen så har I også haft om sådan noget kognitiv øh psykologi og sådan noget?",0,"10","10_A","Spontaneous"
"10_Spontaneous","Ja altså sådan ja kognitiv psykologi ved jeg en del om øh øh",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ja",0,"10","10_A","Spontaneous"
"10_Spontaneous","Vi har ikke haft så meget om sådan alt det med semiotik altså jeg ved godt jeg ved godt jo noget om det men ikke øh",0,"10","10_B","Spontaneous"
"10_Spontaneous","Ikke særlig meget Og vi har også haft om",0,"10","10_B","Spontaneous"
"10_Spontaneous","Nej",0,"10","10_A","Spontaneous"
"10_Spontaneous","Sprog og hos børn hvordan man udvikler sprog og sådan nogle ting teorioer om det",0,"10","10_B","Spontaneous"
